web-scraper-order,web-scraper-start-url,item
"1566203434-939","https://study.baidu.com/tiku","[题目]
李女士与尚先生于2012年9月登记结婚。结婚前双方口头约定实行夫妻财产AA制，双方结婚后各自收入归自己所有。婚后由于双方感情不和，李女士于2013年1月将尚先生诉至人民法院，要求与尚先生离婚并且要求平均分割双方财产。最后法院判决二人离婚，平均分割双方婚姻关系存续期间的财产。1.你认为法院为什么判决平均分割双方婚姻关系存续期间的共同财产？1.谈谈你对约定财产制的认识。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题考查夫妻财产的分割方式：夫妻约定财产制。这是随着社会经济的发展、婚姻状况的变化出现的一种财产分割方式。解答本题必须对这种财产分割方式有一个全面的了解。第(1)问实质是考查夫妻二人约定财产的行为是否符合法律规定，若符合法律规定则是有效的，若不符合法律规定则是无效的，因此，结合有关的法律规定进行评判即可得出答案。第(2)问可从“是什么”“为什么”“怎么样”三个方面回答。【点评】本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。

【分析】本题考查夫妻财产的分割方式：夫妻约定财产制。这是随着社会经济的发展、婚姻状况的变化出现的一种财产分割方式。解答本题必须对这种财产分割方式有一个全面的了解。第(1)问实质是考查夫妻二人约定财产的行为是否符合法律规定，若符合法律规定则是有效的，若不符合法律规定则是无效的，因此，结合有关的法律规定进行评判即可得出答案。第(2)问可从“是什么”“为什么”“怎么样”三个方面回答。【点评】本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。

知识点：
[知识点：]
家庭与婚姻"
"1566203434-956","https://study.baidu.com/tiku","[题目]
在青海做水果批发生意的王某与水果经销商赵某签订了一份买卖合同。合同约定，赵某在王某处订购1万公斤榴莲，价值14万元，交货时间为4月20日。赵某并向王某支付了7 000元的定金，双方约定违约金为2万元。4月14日，王某的货车在青海玉树遭遇大地震，价值14万元的榴莲全部被毁，与赵某的合同也无法如期履行。赵某提出王某违约，要求其支付违约金2万元。王某不同意，双方遂诉至法院。1.王某是否应当承担违约责任？为什么？1.如果你是法官，应怎样处理二者的合同纠纷？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题考查违约行为的免责情形及其违约责任。王某违约的原因是解答本题的关键，不可抗力造成王某违约，所以其行为属于法定免责情形，与赵某的合同也应该协商解决。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。【分析】本题考查违约行为的免责情形及其违约责任。王某违约的原因是解答本题的关键，不可抗力造成王某违约，所以其行为属于法定免责情形，与赵某的合同也应该协商解决。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。知识点：
[知识点：]
信守合同与违约"
"1566203434-922","https://study.baidu.com/tiku","[题目]
运用《生活中的法律常识》中的相关知识，结合本案，回答下列问题:11月9日，小李看中一网店3000元的A款手机，要求店主给予8折优惠，店主同意，但要求小李两日内下单付款。11月10日，小李发现该店举行“11月11日购买B款手机降价1000元”的促销活动。小李与店主联系，要求A款手机也降价1000元，店主回复:好的，先支付3000元，优惠款三天内返还”。小李当即下单并支付了3000元。三天后，小李收到手机但未收到返还款，与店主交涉要求返还优惠款，店主只同意按8折优惠返还600元，小李表示拒绝。1.该店的行为违反了哪些合同履行原则？请说明理由。1.指出该店应承担的民事责任及方式，并说明理由。题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
劳动就业与守法经营,信守合同与违约"
"1566203434-963","https://study.baidu.com/tiku","[题目]
甲乙夫妇有三个儿子，均已各自成家。甲与乙年事已高，身体状况不好，基本上没有劳动能力，生活十分困难。不得已，老两口向三个儿子提出要赡养费。对此，大儿子认为自己虽为长子，但父母从未宠爱过自己，且自己最早独立生活，没有再向父母要过钱，没有赡养义务；二儿子认为自己家庭条件也不好，本身已十分困难，没有能力赡养父母；小儿子说可以让父母来与自己同住，但是不负担任何生活费用。1.三个儿子的观点是否正确？为什么？1.甲乙该怎样维护自己的合法权益？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】第(1)问考查父母与子女的权利和义务。第(2)问考查制止侵犯家庭成员权利、破坏家庭和睦行为的措施。

【点评】本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。【分析】第(1)问考查父母与子女的权利和义务。第(2)问考查制止侵犯家庭成员权利、破坏家庭和睦行为的措施。

【点评】本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。知识点：
[知识点：]
家庭与婚姻"
"1566203434-1070","https://study.baidu.com/tiku","[题目]
我国公民享有劳动的权利和义务，为维护公民的合法劳动权益提供法律保障的是(   )  ①《中华人民共和国宪法》
②《中华人民共和国劳动法》
③《中华人民共和国反不正当竞争法》
④《中华人民共和国劳动合同法》A①②B①②③C①②④D①②③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
劳动就业与守法经营"
"1566203434-928","https://study.baidu.com/tiku","[题目]
2017年3月，我国企业获得芝加哥846辆地铁订单，标的金额为13．09亿美元，下列关于合同的表述中，说法错误的是（    ）①该采购订单不属于合同
②合同关系的当事人分别称为债权人和债务人
③合同必须是双方当事人在自愿基础上达成的共识
④合同的订立必须是书面形式A①④B①②C②③D③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
民事权利和义务,信守合同与违约"
"1566203434-1038","https://study.baidu.com/tiku","[题目]
材料一　云芳的父母为了让她有一个良好的学习环境，决定换购一套地段较好的住房，但手头缺钱。房地产公司说可以办理“按揭贷款”，也就是用他们所要购买的商品房作担保，现在入住，以后逐月还款。
材料二　人们在街上有时可以看到有些铺面上写着一个大大的“当”字，类似于我们在影视剧中所看到的当铺，但现在我们管它叫“典当行”。人们如急需用钱，可以用自己的财产作担保，获取相应的资金，并可在到期还清钱款后取回该担保财产。
法律上把这两种担保方式分别称作什么？它们各有什么特点？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
民事权利和义务"
"1566203434-1045","https://study.baidu.com/tiku","[题目]
刘峰在市教委组织的儿童绘画比赛中获得一等奖。市教委下属的一家美术杂志社闻讯后即来信表示，他们将出一期儿童作品专刊，希望刘峰能寄来几幅作品供他们挑选。刘峰的父亲刘洪收信后给杂志社寄去了三幅作品，但之后一直没有回音。第二年6月，刘洪在该杂志社的期刊上发现有刘峰的两幅作品但没有给刘峰署名，便立即找到杂志社，质问为何不通知他作品已被选用，而且既不支付稿酬也不署名。然而该杂志社称，刘峰年仅8岁，还是未成年人，还不能享有著作权，因此没必要署名；杂志社发表刘峰的作品是教委对其成绩的肯定，没有必要支付稿酬。

根据我国法律规定，刘峰是否有署名的权利和获得报酬的权利?题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
民事权利和义务"
"1566203434-1002","https://study.baidu.com/tiku","[题目]
据报道，因涉嫌遗弃罪的小来和王某已被警方刑拘，婴儿母亲小敏因在哺乳期被监视居住。案发后，三人认罪态度较好，已将婴儿领回抚养。小来和小敏都是松原市的高中生，因偷食禁果，小敏产下一男婴，双方都怕丢人，不想抚养。经与小敏母亲王某商量，在婴儿降生6小时后，三人把孩子遗弃在医院走廊。  法院本着惩罚与教育相结合的原则，于近日作出判决：王某、小来、小敏犯遗弃罪，分别被判处有期徒刑6个月，缓刑1年。1.什么是遗弃？1.依据有关法律知识，分析材料中法院依法判决小来、小敏及王某的依据。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：分析：本题主要考查学生对侵犯家庭成员的权利、破坏家庭和睦行为的认识，考查学生运用法律理论分析具体问题的能力。解题思路如下：

点评：本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。分析：本题主要考查学生对侵犯家庭成员的权利、破坏家庭和睦行为的认识，考查学生运用法律理论分析具体问题的能力。解题思路如下：

点评：本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。知识点：
[知识点：]
家庭与婚姻"
"1566203434-925","https://study.baidu.com/tiku","[题目]
2018年1月18日至19日，党的十九届二中全会在京召开，会议审议通过了《中共中央关于修改宪法部分内容的建议》。中共中央决定对宪法进行适当修改，是经过反复考虑、综合方方面面情况作出的，目的是通过修改使我国宪法更好体现人民意志。这是因为在我国（    ）
①法律是为人民服务的
②法律的力量在于人民对法律观念的自觉践行
③人民是法律的执行者和捍卫者
④法律的制定需要征求人民的意愿A①②B①④C②③D③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
民事权利和义务,生活在社会主义法治国家"
"1566203434-947","https://study.baidu.com/tiku","[题目]
材料一
  2013年2月,连霍高速义昌大桥坍塌事故死难者身份已确定,事发地政府已决定按照《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》,对赔偿金统一按照城镇居民标准先行垫付。此前的消息称,此次事故赔偿存在
“同命不同价”“农村户口比城市户口少22万元”等说法。

材料二　2013年4月10日,宁夏高级人民法院、宁夏公安厅交管局、宁夏保监局召开《宁夏道路交通安全条例》“同命同价”条款修改专题论证会。2013年下半年,新修订的《宁夏道路交通安全条例》出台后,道路交通事故造成人身损害赔偿金“同命不同价”有望成为历史。1.“同命不同价”危害公民哪些权利?1.从法律生活常识的角度说说“同命同价”的理由。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】第(1)问,需要直接归纳出公民的人身权利;第(2)问,需要分别从公民在法律面前人人平等、公民的人格尊严和生命健康权等角度分析原因。【点评】本题主要民事权利和义务，需要考生对基础知识熟练掌握。【分析】第(1)问,需要直接归纳出公民的人身权利;第(2)问,需要分别从公民在法律面前人人平等、公民的人格尊严和生命健康权等角度分析原因。【点评】本题主要民事权利和义务，需要考生对基础知识熟练掌握。知识点：
[知识点：]
民事权利和义务"
"1566203434-975","https://study.baidu.com/tiku","[题目]
王强与小张是同村村民，2008年二人开始恋爱并于当年向亲朋好友宣布他们已经结婚，但事实上并未办理结婚登记手续，此时两人均已24岁，以后二人开始共同生活，同村人也认定他们是夫妻。2010年王强进城打工，不久认识了芳芳，两人产生了感情，2010年7月王强与芳芳共同生活并办理了结婚登记。小张知道后，非常生气，准备提出诉讼。1.王强与小张的关系应如何认定？1.王强与芳芳的关系应如何认定？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题考查学生对结婚登记知识的理解与运用，在于让学生明白结婚登记是法定的程序，结婚登记十分重要。

【点评】本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。【分析】本题考查学生对结婚登记知识的理解与运用，在于让学生明白结婚登记是法定的程序，结婚登记十分重要。

【点评】本题主要考查家庭与婚姻，需要考生对基础知识熟练掌握。知识点：
[知识点：]
家庭与婚姻"
"1566203434-1042","https://study.baidu.com/tiku","[题目]
年仅15岁的宋某发明了一项专利，各种荣誉也接踵而至。请问：这项发明的专利权、荣誉权应该是由宋某本人享有还是由她的父母享有？为什么？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
民事权利和义务"
"1566203434-1028","https://study.baidu.com/tiku","[题目]
王刚是某建筑公司的经理，与中学老师张燕结婚，婚后生一对双胞胎，张燕想给男孩取名王龙，女孩取名张凤，结果王刚不同意，坚持两个孩子都姓王。王刚整天忙于公司业务，家务全落在张燕身上，产假结束后，张燕要上班了，想请个保姆帮忙做家务，王刚不同意，坚持要张燕辞掉工作，在家做专职太太，两人意见不一致，导致矛盾激化。

请用有关法律常识对王刚的行为进行分析。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
家庭与婚姻"
"1566203434-940","https://study.baidu.com/tiku","[题目]
李某路过蔡某家门口，被蔡某养的狗咬伤，花去医药费1 500多元。李某找到蔡某，希望蔡某承担医药费。蔡某却说：“我家养的狗拴在树上，从来没咬过人，这一次怎么会断了绳子咬人？一定是你逗我家的狗，并割断了拴狗的绳子，所以狗才咬人的。你是自作自受，责任该由你自己承担。”李某深感气愤，却又不知该如何解决。1.案例中的双方若不能自行和解，李某可以采取哪些方式解决纠纷，维护自己的合法权益？1.如果进入诉讼程序，李某起诉到法院要求蔡某赔偿，那么本案举证责任该如何分担？请简要分析说明。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
法律救济"
"1566203434-1001","https://study.baidu.com/tiku","[题目]
自媒体，是私人化、平民化、自主化、泛滥化的传播者利用现代化、电子化的手段和平台（如QQ、手机短信、博客、微博、微信、百度官方贴吧、论坛/BBS等），向不特定的大多数或者特定的单个人传递规范性及非规范性信息的新媒体。某班开展主题为“自媒体与文化江西”的社会实践活动，邀你分享智慧和创意。
【推介好礼物】
A组同学关注江西旅游文化产品，在实地调研基础上提出一个创意：设立一个名为“传统江西，好礼相送”的微信公众平台，向来江西旅客推介具有江西传统文化特色的纪念品，如：庐山风光手机壳，滕王阁3D立体拼图，红军卡通人物U盘，客家围屋小首饰，婺源特色木梳等等。
【成长靠法治】
B组同学关注自媒体的规范运行，发现诸多问题：部分运营商片面追逐经济利益，过度商业化，疏于管理，导致平台上内容虚假、形式低俗的信息泛滥成灾;有些自媒体用户利用自媒体的自由空间，传播病毒，泄露他人隐私，造谣传谣，侵害他们合法权益，危害社会秩序和公共安全，立法滞后于时代发展，有的法律法规针对性、可操作性不强，有法不依，执法不严，违法不究现象任然存在，同学们探究了解决上述问题的途径。1.结合材料，运用《文化生活》相关知识，从文化传承与创新的角度，说明该创意的文化价值。1.结合材料，运用《政治生活》相关知识，说明如何把自媒体的使用和发展纳入法治轨道。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
文化市场对文化的影响,生活在社会主义法治国家,文化创新的意义"
"1566203434-1080","https://study.baidu.com/tiku","[题目]
Z某在其个人自媒体上发布一首改编版“因为爱情饭煲版”，宣传自家的电饭煲。《因为爱情》的词曲作者据此提出索赔500万元。Z某自知理亏遂向词曲作者致歉，承诺愿意承担相关法律责任。由此可见（    ）
①民事权利的实现得益于人们的实际行动
②作为精神产品的词曲不宜用商业用途
③音乐著作权只能由著作权人自己行使
④因为作品的改编权、表演权受法律保护A①②B②③C①④D③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
民事权利和义务"
"1566203434-984","https://study.baidu.com/tiku","[题目]
王某深夜在微博发布离婚声明，称“无法容忍恶意背叛婚姻、破坏家庭”，声明中指出前妻马某与宋某存在婚外不正当两性关系，严重伤害了婚姻、破坏了家庭。过了两天，马某委托律师到朝阳区法院立案，起诉王某，称王某侵犯名誉权，要求王某删除微博。1.什么是名誉权？1.王某究竟有没有侵犯其前妻的名誉权？题型: 综合题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
家庭与婚姻"
"1566203434-1063","https://study.baidu.com/tiku","[题目]
王某外出经商，准备回家过年，在公路上等汽车。但因当日刚刚下过大雪，路面结冰，极为难行。王某等候多时，未见汽车。半小时之后，王某拦了一辆个体出租车，但司机陈某以准备回家休息为由拒绝搭载。王某说明自己要赶火车回家，恳求陈某送其至火车站。陈某提出要加倍收费，并且因路滑难行，如有意外，概不负责。王某急于赶路，表示同意。车行5千米左右，因前方车辆行驶缓慢，陈某遂将车驶入人行道，准备超车，但因路面太滑，刹车失控，该车撞在路边电线杆上，致使王某头部撞伤（王某因此花去医疗费5 000元）。王某要求司机陈某赔偿。陈某提出，他事先与王某约定，对此事故一概不负责任，相反，王某应当对出租车的车身损坏负责。

请问：陈某是否应对乘客王某的人身伤害承担赔偿责任？王某应对出租车的车身损坏承担责任吗？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
信守合同与违约"
"1566203434-1044","https://study.baidu.com/tiku","[题目]
女青年苏某在其16岁时，母亲强迫她嫁给比她大14岁的表哥张某，并通过隐瞒的方式到婚姻登记机构办理了结婚登记，两年后生有一女。由于苏某与张某感情不和，经常斗嘴吵架，张某还常常动手打苏某。20岁那年苏某离家外出打工，结识了25岁的浙江人王某，两人情投意合，准备结婚。苏某回家要求解除与张某的婚姻关系，张某不同意，于是苏某向法院提起离婚诉讼。

女青年苏某与张某的婚姻是否受法律保护？并说明理由题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
家庭与婚姻"
"1566203434-935","https://study.baidu.com/tiku","[题目]
林先生与王某经协商签订《房屋转让合同书》，约定：王某将一套房屋卖给林先生，林先生支付给王某房款20万元，违约金1万元。合同签订后，林先生当即将所有房款交付王某，但到了合同规定的期限，王某仍未将房子交付。于是，林先生将王某告上法庭，请求法院判令王某交付房屋，并办理房屋过户手续，支付违约金1万元。王某辩称，他与林先生还未到房产管理部门办理房屋转让登记手续，因此该合同还未生效，自己不用承担违约责任，只须退还林先生的房款及利息。最后，法院依法支持林先生的全部诉讼请求，要求王某办理房屋过户手续，并支付违约金1万元。1.什么是违约金？1.为什么法院判决要求王某向林先生支付1万元违约金？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】第(1)问，是对基础知识的考查，根据教材知识回答即可。第(2)问，首先分析违约金的性质和作用，然后结合材料分析法院判决王某向林先生支付1万元违约金的理由。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。【分析】第(1)问，是对基础知识的考查，根据教材知识回答即可。第(2)问，首先分析违约金的性质和作用，然后结合材料分析法院判决王某向林先生支付1万元违约金的理由。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。知识点：
[知识点：]
信守合同与违约"
